State Name,Urban Agglomerations / Cities,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslims - Persons,Religious communities - Muslims - Males,Religious communities - Muslims - Females,Religious communities - Christians - Persons,Religious communities - Christians - Males,Religious communities - Christians - Females,Religious communities - Sikhs - Persons,Religious communities - Sikhs - Males,Religious communities - Sikhs - Females,Religious communities - Buddhists - Persons,Religious communities - Buddhists - Males,Religious communities - Buddhists - Females,Religious communities - Jains - Persons,Religious communities - Jains - Males,Religious communities - Jains - Females,Religious communities - Other religions and persuasions - Persons,Religious communities - Other religions and persuasions - Males,Religious communities - Other religions and persuasions - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
UTTAR PRADESH,Shahjahanpur (MB),296662,160178,136484,161247,87289,73958,131827,70947,60880,684,345,339,2367,1285,1082,205,117,88,38,25,13,49,28,21,245,142,103
UTTAR PRADESH,Lakhimpur (MB),121486,65236,56250,94166,50692,43474,24837,13208,11629,222,118,104,1857,997,860,242,127,115,105,52,53,0,0,0,57,42,15
UTTAR PRADESH,Sitapur (MB),151908,79767,72141,109672,57683,51989,40628,21244,19384,311,159,152,923,485,438,40,21,19,206,109,97,6,2,4,122,64,58
UTTAR PRADESH,Hardoi (MB),112486,59876,52610,90755,48309,42446,20642,10978,9664,294,167,127,332,190,142,314,161,153,123,58,65,3,0,3,23,13,10
UTTAR PRADESH,Unnao (MB),144662,76254,68408,106671,56466,50205,37107,19329,17778,232,109,123,532,287,245,37,20,17,53,27,26,8,3,5,22,13,9
UTTAR PRADESH,Lucknow UA,2245509,1189466,1056043,1631810,869656,762154,572477,298791,273686,11397,5596,5801,21375,11103,10272,2663,1426,1237,4043,2038,2005,366,175,191,1378,681,697
UTTAR PRADESH,Lucknow (M Corp.),2185927,1156151,1029776,1586228,843825,742403,560606,292505,268101,10502,5105,5397,20253,10459,9794,2633,1405,1228,3977,2004,1973,366,175,191,1362,673,689
UTTAR PRADESH,Rae Bareli (MB),169333,88911,80422,127066,67268,59798,39784,20358,19426,372,185,187,1516,792,724,105,49,56,241,124,117,7,3,4,242,132,110
UTTAR PRADESH,Farrukhabad-cum-Fatehgarh UA   ,242997,129643,113354,182905,98029,84876,56379,29258,27121,1202,612,590,1981,1463,518,181,88,93,287,158,129,10,4,6,52,31,21
UTTAR PRADESH,Farrukhabad-cum-Fatehgarh (MB),228333,120829,107504,171239,91226,80013,54920,28472,26448,1114,575,539,553,291,262,174,84,90,279,151,128,6,2,4,48,28,20
UTTAR PRADESH,Etawah (MB),210453,111749,98704,154866,82620,72246,51728,27093,24635,232,125,107,570,304,266,145,77,68,2840,1491,1349,1,1,0,71,38,33
UTTAR PRADESH,Kanpur UA   ,2715555,1465142,1250413,2101966,1139271,962695,554136,294620,259516,12544,6310,6234,35421,18876,16545,3091,1646,1445,6032,3102,2930,468,239,229,1897,1078,819
UTTAR PRADESH,Kanpur (CB),100796,55931,44865,67598,38137,29461,31054,16562,14492,829,406,423,772,517,255,72,40,32,106,55,51,7,6,1,358,208,150
UTTAR PRADESH,Kanpur (M Corp.),2551337,1374121,1177216,1980506,1071276,909230,514702,273486,241216,11099,5562,5537,34270,18144,16126,2970,1581,1389,5889,3032,2857,456,229,227,1445,811,634
UTTAR PRADESH,Orai (MB),139318,74703,64615,113872,61189,52683,24566,13036,11530,216,125,91,368,188,180,222,125,97,65,35,30,0,0,0,9,5,4
UTTAR PRADESH,Jhansi UA   ,460278,244169,216109,370649,197600,173049,76768,40038,36730,5759,2811,2948,3491,1868,1623,224,123,101,3128,1591,1537,40,17,23,219,121,98
UTTAR PRADESH,Jhansi (MB),383644,202745,180899,302552,160723,141829,70705,36821,33884,4506,2138,2368,2855,1510,1345,166,93,73,2644,1342,1302,35,15,20,181,103,78
UTTAR PRADESH,Lalitpur (MB),111892,58993,52899,83902,44438,39464,15593,8102,7491,568,308,260,474,251,223,42,22,20,11291,5862,5429,0,0,0,22,10,12
UTTAR PRADESH,Banda UA   ,139436,75174,64262,108472,58899,49573,29733,15622,14111,171,90,81,311,166,145,7,4,3,717,381,336,2,1,1,23,11,12
UTTAR PRADESH,Banda (MB),134839,72632,62207,104079,56458,47621,29570,15547,14023,157,81,76,307,162,145,7,4,3,694,368,326,2,1,1,23,11,12
UTTAR PRADESH,Fatehpur (MB),152078,80011,72067,102663,54639,48024,48833,25063,23770,184,90,94,259,145,114,40,21,19,66,38,28,0,0,0,33,15,18
UTTAR PRADESH,Allahabad UA   ,1042229,576122,466107,820520,458573,361947,210099,111561,98538,5755,2801,2954,3192,1668,1524,371,202,169,1384,739,645,240,115,125,668,463,205
UTTAR PRADESH,Allahabad (M Corp.),975393,539772,435621,759666,425424,334242,205004,108839,96165,5286,2549,2737,2892,1507,1385,339,184,155,1331,711,620,229,108,121,646,450,196
UTTAR PRADESH,Faizabad UA   ,208162,114330,93832,164091,91189,72902,41259,21510,19749,894,612,282,1577,843,734,183,91,92,116,60,56,8,3,5,34,22,12
UTTAR PRADESH,Faizabad (MB),144705,75935,68770,105611,55533,50078,37282,19441,17841,269,145,124,1370,730,640,63,29,34,86,46,40,8,3,5,16,8,8
UTTAR PRADESH,Sultanpur (MB),100065,53189,46876,69342,37255,32087,28777,14955,13822,206,81,125,1243,645,598,378,192,186,71,35,36,4,3,1,44,23,21
UTTAR PRADESH,Bahraich (MB),168323,89581,78742,72523,38597,33926,93900,50014,43886,307,156,151,856,440,416,78,41,37,645,325,320,0,0,0,14,8,6
UTTAR PRADESH,Gonda (MB),120301,66207,54094,75497,41284,34213,43742,24373,19369,377,181,196,587,316,271,32,18,14,27,16,11,2,1,1,37,18,19
UTTAR PRADESH,Basti (MB),107601,57053,50548,80879,42945,37934,25867,13667,12200,93,48,45,616,314,302,98,49,49,18,10,8,9,8,1,21,12,9
UTTAR PRADESH,Gorakhpur (M Corp.),622701,329807,292894,485942,258228,227714,128475,67395,61080,5133,2597,2536,2017,985,1032,593,317,276,254,130,124,42,25,17,245,130,115
UTTAR PRADESH,Deoria (MB),104227,54681,49546,91756,48091,43665,11809,6227,5582,251,134,117,334,181,153,42,30,12,25,12,13,4,2,2,6,4,2
UTTAR PRADESH,Maunath Bhanjan (MB),212657,109958,102699,89732,47390,42342,122307,62312,59995,386,124,262,86,51,35,54,27,27,39,21,18,0,0,0,53,33,20
UTTAR PRADESH,Ballia (MB),101465,54496,46969,90571,48744,41827,10434,5504,4930,101,58,43,300,162,138,6,4,2,3,2,1,2,1,1,48,21,27
UTTAR PRADESH,Jaunpur (MB),160055,84203,75852,105632,56164,49468,53358,27482,25876,224,103,121,586,319,267,183,101,82,27,13,14,10,4,6,35,17,18
UTTAR PRADESH,Ghazipur UA   ,103298,54371,48927,76153,40208,35945,26588,13883,12705,238,112,126,206,112,94,9,6,3,31,13,18,11,6,5,62,31,31
UTTAR PRADESH,Mughalsarai UA   ,116308,61579,54729,95497,50609,44888,18635,9826,8809,679,351,328,1309,691,618,54,28,26,74,38,36,29,18,11,31,18,13
UTTAR PRADESH,Varanasi UA   ,1203961,643043,560918,836176,448762,387414,358756,189565,169191,3328,1605,1723,3048,1634,1414,502,323,179,1404,739,665,147,82,65,600,333,267
UTTAR PRADESH,Varanasi (M Corp.),1091918,582096,509822,741042,396788,344254,343238,181305,161933,2360,1129,1231,2817,1498,1319,424,278,146,1366,721,645,136,75,61,535,302,233
UTTAR PRADESH,Mirzapur-cum-Vindhyachal (MB),205053,109647,95406,162242,87168,75074,41169,21600,19569,286,142,144,851,464,387,103,52,51,344,177,167,39,30,9,19,14,5
